Jour,Sains (S),Infectés (I),Rétablis (R)
0,4029,10,0
1,4015,24,0
2,3927,111,1
3,3623,415,1
4,3338,695,6
5,3042,975,22
6,2661,1338,40
7,2231,1742,66
8,1878,2062,99
9,1582,2320,137
10,1296,2550,193
11,1046,2755,238
12,820,2932,287
13,637,3054,348
14,500,3129,410
15,403,3164,472
16,340,3173,526
17,296,3134,609
18,259,3106,674
19,227,3070,742
20,213,3024,802
21,192,2992,855
22,175,2952,912
23,162,2908,969
24,151,2872,1016
25,146,2823,1070
26,139,2774,1126
27,132,2721,1186
28,127,2676,1236
29,120,2615,1304
30,116,2566,1357
31,115,2512,1412
32,113,2465,1461
33,110,2422,1507
34,108,2371,1560
35,108,2323,1608
36,106,2278,1655
37,106,2238,1695
38,105,2183,1751
39,104,2145,1790
40,103,2100,1836
41,95,2068,1876
42,92,2031,1916
43,90,1992,1957
44,87,1957,1995
45,84,1906,2049
46,75,1873,2091
47,68,1838,2133
48,67,1804,2168
49,60,1773,2206
50,57,1742,2240
51,55,1713,2271
52,54,1683,2302
53,52,1657,2330
54,51,1630,2358
55,50,1603,2386
56,50,1570,2419
57,48,1540,2451
58,46,1517,2476
59,45,1494,2500
